Country,Year,Fishing ,
Indonesia,1980,1652660,
Indonesia,1981,1677030,
Indonesia,1982,1753048,
Indonesia,1983,1944527,
Indonesia,1984,1982327,
Indonesia,1985,2093069,
Indonesia,1986,2196212,
Indonesia,1987,2306077,
Indonesia,1988,2462514,
Indonesia,1989,2576870,
Indonesia,1990,2668521,
Indonesia,1991,2816195,
Indonesia,1992,2983772,
Indonesia,1993,3212909,
Indonesia,1994,3453274,
Indonesia,1995,3645428,
Indonesia,1996,3767439,
Indonesia,1997,3918472,
Indonesia,1998,4024958,
Indonesia,1999,4018532.5,
Indonesia,2000,4168921.5,
Indonesia,2001,4349342,
Indonesia,2002,4420029,
Indonesia,2003,4710291,
Indonesia,2004,4754105,
Indonesia,2005,4721419,
Indonesia,2006,4818814,
Indonesia,2007,5060086,
Indonesia,2008,5019071,
Indonesia,2009,5128007,
Indonesia,2010,5402213,
Indonesia,2011,5776454,
Indonesia,2012,5883521,
Indonesia,2013,6157745,
Indonesia,2014,6550715,
Indonesia,2015,6760874,
Indonesia,2016,6595077,
Indonesia,2017,6790477.5,
Indonesia,2018,7270238,
Australia,1980,1652660,
Australia,1981,1677030,
Australia,1982,1753048,
Australia,1983,1944527,
Australia,1984,1982327,
Australia,1985,2093069,
Australia,1986,2196212,
Australia,1987,2306077,
Australia,1988,2462514,
Australia,1989,2576870,
Australia,1990,2668521,
Australia,1991,2816195,
Australia,1992,2983772,
Australia,1993,3212909,
Australia,1994,3453274,
Australia,1995,3645428,
Australia,1996,3767439,
Australia,1997,3918472,
Australia,1998,4024958,
Australia,1999,4018532.5,
Australia,2000,4168921.5,
Australia,2001,4349342,
Australia,2002,4420029,
Australia,2003,4710291,
Australia,2004,4754105,
Australia,2005,4721419,
Australia,2006,4818814,
Australia,2007,5060086,
Australia,2008,5019071,
Australia,2009,5128007,
Australia,2010,5402213,
Australia,2011,5776454,
Australia,2012,5883521,
Australia,2013,6157745,
Australia,2014,6550715,
Australia,2015,6760874,
Australia,2016,6595077,
Australia,2017,6790477.5,
Australia,2018,7270238,
New Zealand,1980,154365,
New Zealand,1981,167304,
New Zealand,1982,169149,
New Zealand,1983,195627,
New Zealand,1984,208002,
New Zealand,1985,202984,
New Zealand,1986,208170,
New Zealand,1987,240978,
New Zealand,1988,276817,
New Zealand,1989,316147,
New Zealand,1990,351706,
New Zealand,1991,386324,
New Zealand,1992,470274,
New Zealand,1993,433055,
New Zealand,1994,452612,
New Zealand,1995,556751,
New Zealand,1996,425444,
New Zealand,1997,648926,
New Zealand,1998,648045.125,
New Zealand,1999,600197,
New Zealand,2000,553473,
New Zealand,2001,569855,
New Zealand,2002,588662,
New Zealand,2003,550962,
New Zealand,2004,546103,
New Zealand,2005,545472,
New Zealand,2006,476809,
New Zealand,2007,494947,
New Zealand,2008,452645.3125,
New Zealand,2009,440033.4063,
New Zealand,2010,436758.375,
New Zealand,2011,430621,
New Zealand,2012,442222.5,
New Zealand,2013,444368.25,
New Zealand,2014,443107.1563,
New Zealand,2015,433774.875,
New Zealand,2016,425058,
New Zealand,2017,431784.4063,
New Zealand,2018,407833.9063,
Papua New Guinea,1980,78126,
Papua New Guinea,1981,65811,
Papua New Guinea,1982,47175,
Papua New Guinea,1983,33954,
Papua New Guinea,1984,44076,
Papua New Guinea,1985,50763,
Papua New Guinea,1986,54686,
Papua New Guinea,1987,59986,
Papua New Guinea,1988,49195,
Papua New Guinea,1989,53885,
Papua New Guinea,1990,61785,
Papua New Guinea,1991,58561,
Papua New Guinea,1992,44971,
Papua New Guinea,1993,53484.68359,
Papua New Guinea,1994,56598.31641,
Papua New Guinea,1995,71885.65625,
Papua New Guinea,1996,62840.44531,
Papua New Guinea,1997,87937.42969,
Papua New Guinea,1998,105812.5469,
Papua New Guinea,1999,80880.36719,
Papua New Guinea,2000,134462.375,
Papua New Guinea,2001,156608.875,
Papua New Guinea,2002,169730.4219,
Papua New Guinea,2003,203810.5625,
Papua New Guinea,2004,294400.375,
Papua New Guinea,2005,285405.4688,
Papua New Guinea,2006,285826.6875,
Papua New Guinea,2007,276469.1563,
Papua New Guinea,2008,253855.5,
Papua New Guinea,2009,261409.7344,
Papua New Guinea,2010,259981.9375,
Papua New Guinea,2011,202659.75,
Papua New Guinea,2012,280989.375,
Papua New Guinea,2013,237993.4688,
Papua New Guinea,2014,279334.4688,
Papua New Guinea,2015,273372.4688,
Papua New Guinea,2016,331292.4688,
Papua New Guinea,2017,336292,
Papua New Guinea,2018,258611,
Philippines,1980,1384972,
Philippines,1981,1427772,
Philippines,1982,1498411,
Philippines,1983,1666095.375,
Philippines,1984,1604856,
Philippines,1985,1572100.75,
Philippines,1986,1629213.5,
Philippines,1987,1669434.375,
Philippines,1988,1682873.375,
Philippines,1989,1766680.375,
Philippines,1990,1855254,
Philippines,1991,1931308,
Philippines,1992,1925203,
Philippines,1993,1865030,
Philippines,1994,1877028,
Philippines,1995,1892447,
Philippines,1996,1821779,
Philippines,1997,1836100,
Philippines,1998,1869950,
Philippines,1999,1895192,
Philippines,2000,1920492,
Philippines,2001,1961989,
Philippines,2002,2038379,
Philippines,2003,2157093,
Philippines,2004,2205295,
Philippines,2005,2261540,
Philippines,2006,2299043.5,
Philippines,2007,2460871,
Philippines,2008,2492829,
Philippines,2009,2516236,
Philippines,2010,2504223,
Philippines,2011,2222363,
Philippines,2012,2210329,
Philippines,2013,2206217,
Philippines,2014,2259149,
Philippines,2015,2164440,
Philippines,2016,2035233.5,
Philippines,2017,1891570.875,
Philippines,2018,2061266.75,
Japan ,1980,10067348,
Japan ,1981,10360482,
Japan ,1982,10467873,
Japan ,1983,10858494,
Japan ,1984,11616601,
Japan ,1985,10970693,
Japan ,1986,11505643,
Japan ,1987,11333005,
Japan ,1988,11401496,
Japan ,1989,10661273,
Japan ,1990,9819588,
Japan ,1991,8716800,
Japan ,1992,7976649.5,
Japan ,1993,7448231.5,
Japan ,1994,6785678,
Japan ,1995,6162111,
Japan ,1996,6115649.5,
Japan ,1997,6102891,
Japan ,1998,5443979.5,
Japan ,1999,5337468,
Japan ,2000,5210971,
Japan ,2001,4854643.5,
Japan ,2002,4520996,
Japan ,2003,4818020.5,
Japan ,2004,4467887.5,
Japan ,2005,4457997,
Japan ,2006,4466579.5,
Japan ,2007,4444244.5,
Japan ,2008,4451463.5,
Japan ,2009,4243057.5,
Japan ,2010,4195919.5,
Japan ,2011,3882936.25,
Japan ,2012,3765347.25,
Japan ,2013,3738956.5,
Japan ,2014,3734200.5,
Japan ,2015,3501171.75,
Japan ,2016,3283773.5,
Japan ,2017,3278874,
Japan ,2018,3209746,
United States,1980,3727627,
United States,1981,3725240,
United States,1982,3977879,
United States,1983,4186687,
United States,1984,4763710,
United States,1985,4744131.5,
United States,1986,4910476,
United States,1987,5745394,
United States,1988,5754885,
United States,1989,5579698.5,
United States,1990,5781091.5,
United States,1991,5373133,
United States,1992,5473939.5,
United States,1993,5817721.5,
United States,1994,5846727.5,
United States,1995,5414226,
United States,1996,5268586,
United States,1997,5385731,
United States,1998,5059144,
United States,1999,5205206,
United States,2000,5041558,
United States,2001,5275155,
United States,2002,5326987,
United States,2003,5345396,
United States,2004,5363263,
United States,2005,5320894,
United States,2006,5311208,
United States,2007,5189908,
United States,2008,4606530,
United States,2009,4527104,
United States,2010,4687648,
United States,2011,5491330,
United States,2012,5338928,
United States,2013,5581776,
United States,2014,5476248,
United States,2015,5472360,
United States,2016,5463707,
United States,2017,5501797,
United States,2018,5353303,
Chile,1980,2897821,
Chile,1981,3502061,
