Country,Year,Fishing
Aruba,1960,200
Africa Eastern and Southern,1960,1485740
Afghanistan,1960,200
Africa Western and Central,1960,488505
Angola,1960,257300
Albania,1960,2600
Arab World,1960,474880
United Arab Emirates,1960,30000
Argentina,1960,104732
Australia,1960,57454
Austria,1960,3550
Burundi,1960,9200
Belgium,1960,63700
Benin,1960,26000
Burkina Faso,1960,2000
Bangladesh,1960,351333
Bulgaria,1960,7800
Bahrain,1960,1500
"Bahamas, The",1960,1600
Belize,1960,900
Bermuda,1960,500
Bolivia,1960,700
Brazil,1960,251813
Barbados,1960,5213
Brunei Darussalam,1960,800
Bhutan,1960,100
Botswana,1960,400
Central African Republic,1960,2000
Canada,1960,1078657
Central Europe and the Baltics,1960,212911
Switzerland,1960,2500
Channel Islands,1960,800
Chile,1960,348826
China,1960,2215094
Cote d'Ivoire,1960,40500
Cameroon,1960,51700
"Congo, Dem. Rep.",1960,77000
"Congo, Rep.",1960,11000
Colombia,1960,29800
Comoros,1960,817
Cabo Verde,1960,1600
Costa Rica,1960,2200
Caribbean small states,1960,31823
Cuba,1960,31200
Cayman Islands,1960,0
Cyprus,1960,500
Czech Republic,1960,0
Germany,1960,768100
Djibouti,1960,900
Dominica,1960,500
Denmark,1960,568602
Dominican Republic,1960,1300
Algeria,1960,25500
East Asia & Pacific (excluding high income),1960,4851388
Early-demographic dividend,1960,8283323
East Asia & Pacific,1960,11523975
Europe & Central Asia (excluding high income),1960,98200
Europe & Central Asia,1960,8074060
Ecuador,1960,44300
"Egypt, Arab Rep.",1960,83900
Euro area,1960,3521471
Spain,1960,907298
Ethiopia,1960,8300
European Union,1960,4552526
Fragile and conflict affected situations,1960,885335
Finland,1960,65500
Fiji,1960,3000
France,1960,651576
Faroe Islands,1960,111077
"Micronesia, Fed. Sts.",1960,400
Gabon,1960,6000
United Kingdom,1960,1020331
Ghana,1960,33800
Guinea,1960,4000
"Gambia, The",1960,4500
Guinea-Bissau,1960,700
Equatorial Guinea,1960,900
Greece,1960,87100
Grenada,1960,300
Greenland,1960,53018
Guatemala,1960,1000
Guam,1960,100
Guyana,1960,5700
High income,1960,18986169
"Hong Kong SAR, China",1960,49850
Honduras,1960,1700
Heavily indebted poor countries (HIPC),1960,766117
Croatia,1960,0
Haiti,1960,3000
Hungary,1960,4900
IBRD only,1960,11686577
IDA & IBRD total,1960,13432779
IDA total,1960,1746202
IDA blend,1960,234352
Indonesia,1960,681061
IDA only,1960,1511850
Isle of Man,1960,4900
India,1960,1116557
Ireland,1960,40700
"Iran, Islamic Rep.",1960,20015
Iraq,1960,9000
Iceland,1960,630364
Israel,1960,5400
Italy,1960,213960
Jamaica,1960,8500
Jordan,1960,100
Japan,1960,5945151
Kenya,1960,12600
Cambodia,1960,35000
Kiribati,1960,5000
St. Kitts and Nevis,1960,600
"Korea, Rep.",1960,338564
Kuwait,1960,3500
Latin America & Caribbean (excluding high income),1960,4207619
Lao PDR,1960,12000
Lebanon,1960,2100
Liberia,1960,4200
Libya,1960,2013
St. Lucia,1960,600
Latin America & Caribbean,1960,4685950
Least developed countries: UN classification,1960,1666250
Low income,1960,742690
Sri Lanka,1960,48103
Lower middle income,1960,4579656
Low & middle income,1960,13094570
Lesotho,1960,0
Late-demographic dividend,1960,5180988
Lithuania,1960,0
Latvia,1960,0
"Macao SAR, China",1960,5800
Morocco,1960,167700
Moldova,1960,0
Madagascar,1960,29500
Maldives,1960,13000
Middle East & North Africa,1960,459097
Mexico,1960,196413
Marshall Islands,1960,0
Middle income,1960,12351880
Mali,1960,80000
Malta,1960,1219
Myanmar,1960,360000
Middle East & North Africa (excluding high income),1960,351678
Mongolia,1960,0
Northern Mariana Islands,1960,100
Mozambique,1960,13400
Mauritania,1960,20000
Mauritius,1960,2500
Malawi,1960,13600
Malaysia,1960,147800
North America,1960,3834872
Namibia,1960,0
New Caledonia,1960,400
Niger,1960,3400
Nigeria,1960,56505
Nicaragua,1960,4000
Netherlands,1960,227881
Norway,1960,1609362
Nepal,1960,1300
Nauru,1960,0
New Zealand,1960,49850
OECD members,1960,18677094
Oman,1960,55000
Other small states,1960,668900
Pakistan,1960,82647
Panama,1960,11000
Peru,1960,3506151
Philippines,1960,438468
