Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Indonesia,1652660,1677030,1753048,1944527,1982327,2093069,2196212,2306077,2462514,2576870,2668521,2816195,2983772,3212909,3453274,3645428,3767439,3918472,4024958,4018532.5,4168921.5,4349342,4420029,4710291,4754105,4721419,4818814,5060086,5019071,5128007,5402213,5776454,5883521,6157745,6550715,6760874,6595077,6790477.5,7270238
Australia,136873,153148,171926,169112,177014,162845,183734,212829,221970,200208,237505,247658,256427,259830,228164,238138,230717,229463,238273.4375,244467,219713,217108,217973,240089.2344,255833.0469,273833.2813,229131,211880.3125,212315.7031,200064.5,218659.5469,217720.0781,216678.0469,201837.5,198323.2031,203270.7188,220959.375,229645.4375,225436.6875
New Zealand,154365,167304,169149,195627,208002,202984,208170,240978,276817,316147,351706,386324,470274,433055,452612,556751,425444,648926,648045.125,600197,553473,569855,588662,550962,546103,545472,476809,494947,452645.3125,440033.4063,436758.375,430621,442222.5,444368.25,443107.1563,433774.875,425058,431784.4063,407833.9063
Papua New Guinea,78126,65811,47175,33954,44076,50763,54686,59986,49195,53885,61785,58561,44971,53484.68359,56598.31641,71885.65625,62840.44531,87937.42969,105812.5469,80880.36719,134462.375,156608.875,169730.4219,203810.5625,294400.375,285405.4688,285826.6875,276469.1563,253855.5,261409.7344,259981.9375,202659.75,280989.375,237993.4688,279334.4688,273372.4688,331292.4688,336292,258611
Philippines,1384972,1427772,1498411,1666095.375,1604856,1572100.75,1629213.5,1669434.375,1682873.375,1766680.375,1855254,1931308,1925203,1865030,1877028,1892447,1821779,1836100,1869950,1895192,1920492,1961989,2038379,2157093,2205295,2261540,2299043.5,2460871,2492829,2516236,2504223,2222363,2210329,2206217,2259149,2164440,2035233.5,1891570.875,2061266.75
Japan,10067348,10360482,10467873,10858494,11616601,10970693,11505643,11333005,11401496,10661273,9819588,8716800,7976649.5,7448231.5,6785678,6162111,6115649.5,6102891,5443979.5,5337468,5210971,4854643.5,4520996,4818020.5,4467887.5,4457997,4466579.5,4444244.5,4451463.5,4243057.5,4195919.5,3882936.25,3765347.25,3738956.5,3734200.5,3501171.75,3283773.5,3278874,3209746
United States,3727627,3725240,3977879,4186687,4763710,4744131.5,4910476,5745394,5754885,5579698.5,5781091.5,5373133,5473939.5,5817721.5,5846727.5,5414226,5268586,5385731,5059144,5205206,5041558,5275155,5326987,5345396,5363263,5320894,5311208,5189908,4606530,4527104,4687648,5491330,5338928,5581776,5476248,5472360,5463707,5501797,5353303
Chile,2897821,3502061,3841473,4165537,4665417,4979368,5685596,4917724,5344086,6581968,5354529,6061055,6511083,6056674,7837699,7684846,6909727,5990612,3463178,5281824,4547594,4031799,4515437,3921103,5317386,4738169,4461870,4132856,3939379,3821819,3048316,3466961,3008915,2288885,2592790,2131953,1826937,2334421,2369456
Canada,1540967,1638177,1581757,1436369,1338814,1496957,1561523,1665224,1801383,1719422,1748034,1561348,1400108,1188849,1120321,948410,1195329,1274391,1291796,1277027,1121610,1273725,1393777,1416714,1539709,1435836,1419355,1268623,1183314,1046704,1042771,977609,898518,984043,940217,899220,945610,933012.75,898781
Guatemala,3507,4265,4284,2376,2963,2707,2119,2426,2805,3614,6894,6513,6578,7582,7211,8253,7653,6896,10847,21018,39203,29704,23427,23696,10012,18979,17569,17965,23291,20149,22332,19844,19991,22086,22178,20497,19039,20519,17009
